Date,USD (PM),xielv,dis
2017-02-25,0.0,0.0,167 days
2017-02-26,0.0,0.0,168 days
2017-02-27,1257.2,-0.045821542,169 days
2017-02-28,1255.6,-0.046571019,170 days
2017-03-01,1240.4,-0.057043131,171 days
2017-03-02,1238.1,-0.058220929,172 days
2017-03-03,1226.5,-0.066102228,173 days
2017-03-04,0.0,0.0,174 days
2017-03-05,0.0,0.0,175 days
2017-03-06,1230.95,-0.06236021,176 days
2017-03-07,1216.65,-0.072135971,177 days
2017-03-08,1209.2,-0.076963713,178 days
2017-03-09,1206.55,-0.078272761,179 days
2017-03-10,1202.65,-0.080477048,180 days
2017-03-11,0.0,0.0,181 days
2017-03-12,0.0,0.0,182 days
2017-03-13,1204.2,-0.07872708,183 days
2017-03-14,1204.6,-0.077826664,184 days
2017-03-15,1198.8,-0.081347499,185 days
2017-03-16,1229.35,-0.059599977,186 days
2017-03-17,1229.6,-0.05897778,187 days
2017-03-18,0.0,0.0,188 days
2017-03-19,0.0,0.0,189 days
2017-03-20,1232.4,-0.056676792,190 days
2017-03-21,1241.6,-0.050262582,191 days
2017-03-22,1249.05,-0.045138785,192 days
2017-03-23,1247.5,-0.045780458,193 days
2017-03-24,1247.5,-0.045443825,194 days
2017-03-25,0.0,0.0,195 days
2017-03-26,0.0,0.0,196 days
2017-03-27,1257.55,-0.038918214,197 days
2017-03-28,1257.25,-0.038818334,198 days
2017-03-29,1251.1,-0.042264967,199 days
2017-03-30,1248.8,-0.043355902,200 days
2017-03-31,1244.85,-0.045435417,201 days
2017-04-01,0.0,0.0,202 days
2017-04-02,0.0,0.0,203 days
2017-04-03,1247.25,-0.043673547,204 days
2017-04-04,1257.65,-0.037226718,205 days
2017-04-05,1245.8,-0.043925372,206 days
2017-04-06,1252.5,-0.039699914,207 days
2017-04-07,1266.45,-0.031449144,208 days
2017-04-08,0.0,0.0,209 days
2017-04-09,0.0,0.0,210 days
2017-04-10,1250.05,-0.0405698,211 days
2017-04-11,1252.9,-0.038667052,212 days
2017-04-12,1274.3,-0.026491704,213 days
2017-04-13,1284.15,-0.020999625,214 days
2017-04-14,0.0,0.0,215 days
2017-04-15,0.0,0.0,216 days
2017-04-16,0.0,0.0,217 days
2017-04-17,0.0,0.0,218 days
2017-04-18,1278.95,-0.023637968,219 days
2017-04-19,1279.05,-0.023429186,220 days
2017-04-20,1282.1,-0.021665838,221 days
2017-04-21,1281.85,-0.021655999,222 days
2017-04-22,0.0,0.0,223 days
2017-04-23,0.0,0.0,224 days
2017-04-24,1269.4,-0.028054908,225 days
2017-04-25,1267.8,-0.028719238,226 days
2017-04-26,1261.85,-0.031674248,227 days
2017-04-27,1262.8,-0.030973969,228 days
2017-04-28,1266.45,-0.028877831,229 days
2017-04-29,0.0,0.0,230 days
2017-04-30,0.0,0.0,231 days
2017-05-01,0.0,0.0,232 days
2017-05-02,1255.45,-0.034424916,233 days
2017-05-03,1250.3,-0.036910396,234 days
2017-05-04,1228.45,-0.048314421,235 days
2017-05-05,1228.05,-0.048233483,236 days
2017-05-06,0.0,0.0,237 days
2017-05-07,0.0,0.0,238 days
2017-05-08,1229.8,-0.047003473,239 days
2017-05-09,1220.4,-0.051746576,240 days
2017-05-10,1222.95,-0.050071502,241 days
2017-05-11,1223.15,-0.049665617,242 days
2017-05-12,1231.25,-0.045129317,243 days
2017-05-13,0.0,0.0,244 days
2017-05-14,0.0,0.0,245 days
2017-05-15,1233.3,-0.043804158,246 days
2017-05-16,1234.2,-0.043085781,247 days
2017-05-17,1257.4,-0.031253579,248 days
2017-05-18,1255.9,-0.031803374,249 days
2017-05-19,1252.0,-0.033518625,250 days
2017-05-20,0.0,0.0,251 days
2017-05-21,0.0,0.0,252 days
2017-05-22,1258.85,-0.030017357,253 days
2017-05-23,1260.2,-0.029201714,254 days
2017-05-24,1252.55,-0.032683326,255 days
2017-05-25,1256.95,-0.03040721,256 days
2017-05-26,1265.05,-0.026445635,257 days
2017-05-27,0.0,0.0,258 days
2017-05-28,0.0,0.0,259 days
2017-05-29,0.0,0.0,260 days
2017-05-30,1262.7,-0.027386553,261 days
2017-05-31,1266.2,-0.02562348,262 days
2017-06-01,1264.85,-0.026098786,263 days
2017-06-02,1274.95,-0.021397088,264 days
2017-06-03,0.0,0.0,265 days
2017-06-04,0.0,0.0,266 days
2017-06-05,1279.95,-0.019062385,267 days
2017-06-06,1293.5,-0.013067005,268 days
2017-06-07,1291.0,-0.014068286,269 days
2017-06-08,1273.1,-0.021748623,270 days
2017-06-09,1266.55,-0.024509717,271 days
2017-06-10,0.0,0.0,272 days
2017-06-11,0.0,0.0,273 days
2017-06-12,1266.4,-0.024445238,274 days
2017-06-13,1262.0,-0.026245404,275 days
2017-06-14,1275.5,-0.020260368,276 days
2017-06-15,1254.55,-0.0292339,277 days
2017-06-16,1255.4,-0.02870931,278 days
2017-06-17,0.0,0.0,279 days
2017-06-18,0.0,0.0,280 days
2017-06-19,1248.15,-0.031736089,281 days
2017-06-20,1242.2,-0.034192746,282 days
2017-06-21,1242.5,-0.033885358,283 days
2017-06-22,1250.8,-0.03010318,284 days
2017-06-23,1255.7,-0.027852686,285 days
2017-06-24,0.0,0.0,286 days
2017-06-25,0.0,0.0,287 days
2017-06-26,1245.25,-0.032182895,288 days
2017-06-27,1249.55,-0.03018172,289 days
2017-06-28,1248.0,-0.030689103,290 days
2017-06-29,1243.5,-0.032447332,291 days
2017-06-30,1242.25,-0.03281733,292 days
2017-07-01,0.0,0.0,293 days
2017-07-02,0.0,0.0,294 days
2017-07-03,1229.25,-0.038210657,295 days
2017-07-04,1223.75,-0.040397362,296 days
2017-07-05,1220.3,-0.041693067,297 days
2017-07-06,1224.9,-0.039511838,298 days
2017-07-07,1215.65,-0.043296056,299 days
2017-07-08,0.0,0.0,300 days
2017-07-09,0.0,0.0,301 days
2017-07-10,1211.9,-0.044708878,302 days
2017-07-11,1211.05,-0.044862021,303 days
2017-07-12,1218.8,-0.04133652,304 days
2017-07-13,1218.9,-0.04109835,305 days
2017-07-14,1230.3,-0.036154704,306 days
2017-07-15,0.0,0.0,307 days
2017-07-16,0.0,0.0,308 days
2017-07-17,1234.1,-0.034428537,309 days
2017-07-18,1240.75,-0.030612875,310 days
2017-07-19,1242.15,-0.039715752,311 days
2017-07-20,1238.7,-0.032105044,312 days
2017-07-21,1248.55,-0.028069426,313 days
2017-07-22,0.0,0.0,314 days
2017-07-23,0.0,0.0,315 days
2017-07-24,1255.55,-0.025227447,316 days
2017-07-25,1254.4,-0.02555389,317 days
2017-07-26,1248.1,-0.027860531,318 days
2017-07-27,1261.1,-0.022784103,319 days
2017-07-28,1264.9,-0.021260091,320 days
2017-07-29,0.0,0.0,321 days
2017-07-30,0.0,0.0,322 days
2017-07-31,1267.55,-0.020182996,323 days
2017-08-01,1270.95,-0.018844871,324 days
2017-08-02,1269.6,-0.019253663,325 days
2017-08-03,1268.1,-0.019714534,326 days
2017-08-04,1257.7,-0.023432749,327 days
2017-08-05,0.0,0.0,328 days
2017-08-06,0.0,0.0,329 days
2017-08-07,1258.0,-0.023219816,330 days
2017-08-08,1261.8,-0.0217337,331 days
2017-08-09,1271.05,-0.018317626,332 days
2017-08-10,1284.4,-0.013549206,333 days
2017-08-11,1286.1,-0.012903218,334 days
2017-08-12,0.0,0.0,335 days
2017-08-13,0.0,0.0,336 days
2017-08-14,1282.3,-0.014157763,337 days
2017-08-15,1270.3,-0.01826744,338 days
2017-08-16,1272.75,-0.017335556,339 days
2017-08-17,1285.15,-0.01300712,340 days
2017-08-18,1295.8,-0.009377913,341 days
2017-08-19,0.0,0.0,342 days
2017-08-20,0.0,0.0,343 days
2017-08-21,1292.9,-0.010301902,344 days
2017-08-22,1284.2,-0.013162878,345 days
2017-08-23,1286.65,-0.012289667,346 days
2017-08-24,1289.0,-0.011459875,347 days
2017-08-25,1285.3,-0.012634924,348 days
2017-08-26,0.0,0.0,349 days
2017-08-27,0.0,0.0,350 days
2017-08-28,0.0,0.0,351 days
2017-08-29,1318.65,-0.001856867,352 days
2017-08-30,1308.5,-0.005042688,353 days
2017-08-31,1311.75,-0.003998399,354 days
2017-09-01,1320.4,-0.001293031,355 days
2017-09-02,0.0,0.0,356 days
2017-09-03,0.0,0.0,357 days
2017-09-04,1333.1,0.002581427,358 days
2017-09-05,1335.55,0.003306,359 days
2017-09-06,1337.85,0.003977485,360 days
2017-09-07,1343.5,0.005627093,361 days
2017-09-08,1346.25,0.006407057,362 days
2017-09-09,0.0,0.0,363 days
2017-09-10,0.0,0.0,364 days
2017-09-11,1334.2,0.002855291,365 days
2017-09-12,1326.5,0.000566135,366 days
2017-09-13,1327.55,0.000874858,367 days
2017-09-14,1324.55,-1.48e-05,368 days
2017-09-15,1322.85,-0.000516763,369 days
2017-09-16,0.0,0.0,370 days
2017-09-17,0.0,0.0,371 days
2017-09-18,1312.1,-0.003706898,372 days
2017-09-19,1309.6,-0.004439485,373 days
2017-09-20,1311.3,-0.003916062,374 days
2017-09-21,1292.1,-0.009674174,375 days
2017-09-22,1294.8,-0.008818063,376 days
2017-09-23,0.0,0.0,377 days
2017-09-24,0.0,0.0,378 days
2017-09-25,1293.3,-0.009237275,379 days
2017-09-26,1300.05,-0.007180185,380 days
2017-09-27,1282.55,-0.012419034,381 days
2017-09-28,1283.35,-0.024829244,382 days
2017-09-29,1283.1,-0.012159224,383 days
2017-09-30,0.0,0.0,384 days
2017-10-01,0.0,0.0,385 days
2017-10-02,1273.7,-0.01496716,386 days
2017-10-03,1271.25,-0.015659171,387 days
2017-10-04,1274.25,-0.01468901,388 days
2017-10-05,1274.5,-0.014559082,389 days
2017-10-06,1261.8,-0.018365377,390 days
2017-10-07,0.0,0.0,391 days
2017-10-08,0.0,0.0,392 days
2017-10-09,1278.75,0.002905954,393 days
2017-10-10,1291.4,-0.009417045,394 days
2017-10-11,1289.25,-0.010006948,395 days
2017-10-12,1290.25,-0.009681006,396 days
2017-10-13,1299.6,-0.006969815,397 days
2017-10-14,0.0,0.0,398 days
2017-10-15,0.0,0.0,399 days
2017-10-16,1303.3,-0.005900048,400 days
2017-10-17,1284.75,-0.011157449,401 days
2017-10-18,1280.2,-0.012430848,402 days
2017-10-19,1286.4,-0.010605449,403 days
2017-10-20,1281.2,-0.012054982,404 days
2017-10-21,0.0,0.0,405 days
2017-10-22,0.0,0.0,406 days
2017-10-23,1274.9,-0.013823925,407 days
2017-10-24,1276.45,-0.013329259,408 days
2017-10-25,1275.0,-0.013697866,409 days
2017-10-26,1273.75,-0.014007537,410 days
2017-10-27,1266.45,-0.016054458,411 days
2017-10-28,0.0,0.0,412 days
2017-10-29,0.0,0.0,413 days
2017-10-30,1272.0,-0.014408434,414 days
2017-10-31,1270.15,-0.014885061,415 days
2017-11-01,1277.05,-0.012883817,416 days
2017-11-02,1279.2,-0.012238252,417 days
2017-11-03,1267.2,-0.015565876,418 days
2017-11-04,0.0,0.0,419 days
2017-11-05,0.0,0.0,420 days
2017-11-06,1270.9,-0.014470392,421 days
2017-11-07,1275.6,-0.01311034,422 days
2017-11-08,1284.0,-0.010755085,423 days
2017-11-09,1284.8,-0.010500878,424 days
2017-11-10,1284.3,-0.010601003,425 days
2017-11-11,0.0,0.0,426 days
2017-11-12,0.0,0.0,427 days
2017-11-13,1277.95,-0.012290834,428 days
2017-11-14,1274.6,-0.01316376,429 days
2017-11-15,1282.2,-0.011059585,430 days
2017-11-16,1280.0,-0.011614584,431 days
2017-11-17,1284.35,-0.01041157,432 days
2017-11-18,0.0,0.0,433 days
2017-11-19,0.0,0.0,434 days
2017-11-20,1286.2,-0.00988589,435 days
2017-11-21,1283.3,-0.010621333,436 days
2017-11-22,1286.95,-0.009623426,437 days
2017-11-23,1290.35,-0.008702686,438 days
2017-11-24,1290.5,-0.008635244,439 days
2017-11-25,0.0,0.0,440 days
2017-11-26,0.0,0.0,441 days
2017-11-27,1294.9,-0.007471054,442 days
2017-11-28,1291.85,-0.008230923,443 days
2017-11-29,1283.85,-0.010271994,444 days
2017-11-30,1280.2,-0.011187769,445 days
2017-12-01,1275.5,-0.01237772,446 days
2017-12-02,0.0,0.0,447 days
2017-12-03,0.0,0.0,448 days
2017-12-04,1273.45,-0.012873872,449 days
2017-12-05,1266.3,-0.014709153,450 days
2017-12-06,1263.7,-0.015347709,451 days
2017-12-07,1255.0,-0.017605771,452 days
2017-12-08,1250.65,-0.01871179,453 days
2017-12-09,0.0,0.0,454 days
2017-12-10,0.0,0.0,455 days
2017-12-11,1247.15,-0.019590403,456 days
2017-12-12,1240.9,-0.021211016,457 days
2017-12-13,1242.65,-0.020673279,458 days
2017-12-14,1251.0,-0.018385292,459 days
2017-12-15,1254.6,-0.017381516,460 days
2017-12-16,0.0,0.0,461 days
2017-12-17,0.0,0.0,462 days
2017-12-18,1260.6,-0.015766914,463 days
2017-12-19,1260.35,-0.015782634,464 days
2017-12-20,1264.55,-0.014656558,465 days
2017-12-21,1264.55,-0.014611465,466 days
2017-12-22,,0.0,467 days
2017-12-23,0.0,0.0,468 days
2017-12-24,0.0,0.0,469 days
2017-12-25,0.0,0.0,470 days
2017-12-26,0.0,0.0,471 days
2017-12-27,1279.4,-0.010803993,472 days
2017-12-28,1291.0,-0.007934857,473 days
2017-12-29,,0.0,474 days
2017-12-30,0.0,0.0,475 days
2017-12-31,0.0,0.0,476 days
2018-01-01,0.0,0.0,477 days
2018-01-02,1312.05,-0.002898542,478 days
2018-01-03,1314.9,-0.002228703,479 days
2018-01-04,1314.5,-0.002314316,480 days
2018-01-05,1317.15,-0.001698548,481 days
2018-01-06,0.0,0.0,482 days
2018-01-07,0.0,0.0,483 days
2018-01-08,1319.95,-0.001054753,484 days
2018-01-09,1311.0,-0.003096644,485 days
2018-01-10,1319.75,-0.00109373,486 days
2018-01-11,1323.05,-0.000347638,487 days
2018-01-12,1326.8,0.000490563,488 days
2018-01-13,0.0,0.0,489 days
2018-01-14,0.0,0.0,490 days
2018-01-15,1339.25,0.00322683,491 days
2018-01-16,1333.85,0.002039644,492 days
2018-01-17,1335.65,0.002426136,493 days
2018-01-18,1332.2,0.001668089,494 days
2018-01-19,1334.95,0.002260376,495 days
2018-01-20,0.0,0.0,496 days
2018-01-21,0.0,0.0,497 days
2018-01-22,1332.6,0.001745146,498 days
2018-01-23,1333.4,0.001912951,499 days
2018-01-24,1353.7,0.006212898,500 days
2018-01-25,1354.95,0.006455146,501 days
2018-01-26,1353.15,0.006062911,502 days
2018-01-27,0.0,0.0,503 days
2018-01-28,0.0,0.0,504 days
2018-01-29,1343.85,0.004104444,505 days
2018-01-30,1344.9,0.004312588,506 days
2018-01-31,1345.05,0.004331602,507 days
2018-02-01,1341.35,0.003547567,508 days
2018-02-02,1331.15,0.001393929,509 days
2018-02-03,0.0,0.0,510 days
2018-02-04,0.0,0.0,511 days
2018-02-05,1333.6,0.001906397,512 days
2018-02-06,1331.4,0.001438711,513 days
2018-02-07,1324.65,1.06e-05,514 days
2018-02-08,1315.45,-0.001948404,515 days
2018-02-09,1314.1,-0.002231913,516 days
2018-02-10,0.0,0.0,517 days
2018-02-11,0.0,0.0,518 days
2018-02-12,1322.3,-0.00048451,519 days
2018-02-13,1325.35,0.00015719,520 days
2018-02-14,1336.25,0.00241508,521 days
2018-02-15,1352.45,0.00568847,522 days
2018-02-16,1352.1,0.005602951,523 days
2018-02-17,0.0,0.0,524 days
2018-02-18,0.0,0.0,525 days
2018-02-19,1346.6,0.004488304,526 days
2018-02-20,1339.85,0.003118321,527 days
2018-02-21,1330.5,0.001211596,528 days
2018-02-22,1328.35,0.000769225,529 days
2018-02-23,1327.95,0.000685514,530 days
2018-02-24,0.0,0.0,531 days
2018-02-25,0.0,0.0,532 days
2018-02-26,1333.5,0.00180872,533 days
2018-02-27,1325.75,0.000234449,534 days
2018-02-28,1317.85,-0.001380582,535 days
2018-03-01,1307.75,-0.003463634,536 days
2018-03-02,1322.3,-0.00046633,537 days
2018-03-03,0.0,0.0,538 days
2018-03-04,0.0,0.0,539 days
2018-03-05,1320.4,-0.0008505,540 days
2018-03-06,1331.4,0.001361974,541 days
2018-03-07,1329.4,0.000960283,542 days
2018-03-08,1321.0,-0.00072287,543 days
2018-03-09,1320.6,-0.000801302,544 days
2018-03-10,0.0,0.0,545 days
2018-03-11,0.0,0.0,546 days
2018-03-12,1319.15,-0.001090096,547 days
2018-03-13,1322.75,-0.000368059,548 days
2018-03-14,1323.55,-0.000208214,549 days
2018-03-15,1318.75,-0.001161267,550 days
2018-03-16,1310.1,-0.002889779,551 days
2018-03-17,0.0,0.0,552 days
2018-03-18,0.0,0.0,553 days
2018-03-19,1312.4,-0.002420818,554 days
2018-03-20,1311.0,-0.002694484,555 days
2018-03-21,1321.35,-0.000637203,556 days
2018-03-22,1329.15,0.000884566,557 days
2018-03-23,1346.6,0.004210679,558 days
2018-03-24,0.0,0.0,559 days
2018-03-25,0.0,0.0,560 days
2018-03-26,1352.4,0.005284331,561 days
2018-03-27,1341.45,0.003220785,562 days
2018-03-28,1332.45,0.001506752,563 days
2018-03-29,1323.85,-0.000144524,564 days
2018-03-30,0.0,0.0,565 days
2018-03-31,0.0,0.0,566 days
2018-04-01,0.0,0.0,567 days
2018-04-02,0.0,0.0,568 days
2018-04-03,1333.45,0.001688791,569 days
2018-04-04,1337.3,0.002410342,570 days
2018-04-05,1327.7,0.000591114,571 days
2018-04-06,1331.2,0.001252004,572 days
2018-04-07,0.0,0.0,573 days
2018-04-08,0.0,0.0,574 days
2018-04-09,1331.95,0.001389976,575 days
2018-04-10,1338.95,0.002692803,576 days
2018-04-11,1350.75,0.004852029,577 days
2018-04-12,1341.35,0.003121855,578 days
2018-04-13,1343.7,0.003544756,579 days
2018-04-14,0.0,0.0,580 days
2018-04-15,0.0,0.0,581 days
2018-04-16,1349.35,0.004562731,582 days
2018-04-17,1342.1,0.00323555,583 days
2018-04-18,1351.45,0.004917713,584 days
2018-04-19,1348.6,0.004394134,585 days
2018-04-20,1336.75,0.002238729,586 days
2018-04-21,0.0,0.0,587 days
2018-04-22,0.0,0.0,588 days
2018-04-23,1324.3,-5.57e-05,589 days
2018-04-24,1328.85,0.000783887,590 days
2018-04-25,1321.65,-0.000545736,591 days
2018-04-26,1320.7,-0.000720238,592 days
2018-04-27,1321.5,-0.000570753,593 days
2018-04-28,0.0,0.0,594 days
2018-04-29,0.0,0.0,595 days
2018-04-30,1313.2,-0.002107053,596 days
2018-05-01,1307.1,-0.00324174,597 days
2018-05-02,1304.2,-0.003778211,598 days
2018-05-03,1315.05,-0.001749895,599 days
2018-05-04,1309.4,-0.002790477,600 days
2018-05-05,0.0,0.0,601 days
2018-05-06,0.0,0.0,602 days
2018-05-07,0.0,0.0,603 days
2018-05-08,1306.6,-0.003303651,604 days
2018-05-09,1313.85,-0.001957432,605 days
2018-05-10,1318.8,-0.001049628,606 days
2018-05-11,1324.35,-4.49e-05,607 days
2018-05-12,0.0,0.0,608 days
2018-05-13,0.0,0.0,609 days
2018-05-14,1319.85,-0.000854846,610 days
2018-05-15,1295.0,-0.005416384,611 days
2018-05-16,1291.25,-0.006105833,612 days
2018-05-17,1289.5,-0.006419775,613 days
2018-05-18,1288.3,-0.0066298,614 days
2018-05-19,0.0,0.0,615 days
2018-05-20,0.0,0.0,616 days
2018-05-21,1288.35,-0.006604866,617 days
2018-05-22,1293.05,-0.005714208,618 days
2018-05-23,1289.0,-0.00645287,619 days
2018-05-24,1304.85,-0.003528167,620 days
2018-05-25,1303.5,-0.003764458,621 days
2018-05-26,0.0,0.0,622 days
2018-05-27,0.0,0.0,623 days
2018-05-28,0.0,0.0,624 days
2018-05-29,1295.5,-0.005211689,625 days
2018-05-30,1300.7,-0.00425341,626 days
2018-05-31,1305.35,-0.003405775,627 days
2018-06-01,1294.6,-0.005339448,628 days
2018-06-02,0.0,0.0,629 days
2018-06-03,0.0,0.0,630 days
2018-06-04,1295.45,-0.005172836,631 days
2018-06-05,1292.05,-0.005778105,632 days
2018-06-06,1300.1,-0.004312292,633 days
2018-06-07,1297.25,-0.004813482,634 days
2018-06-08,1298.25,-0.004623356,635 days
2018-06-09,0.0,0.0,636 days
2018-06-10,0.0,0.0,637 days
2018-06-11,1299.6,-0.004371974,638 days
2018-06-12,1298.65,-0.004531128,639 days
2018-06-13,1296.15,-0.004965976,640 days
2018-06-14,1302.75,-0.003786054,641 days
2018-06-15,1285.25,-0.00689564,642 days
2018-06-16,0.0,0.0,643 days
2018-06-17,0.0,0.0,644 days
2018-06-18,1281.55,-0.007548789,645 days
2018-06-19,1276.15,-0.008512501,646 days
2018-06-20,1274.2,-0.008848821,647 days
2018-06-21,1266.15,-0.010304365,648 days
